gender;education type;locality;religion;how_often;generation;first_event
m;general;village;no;never;4g;work
f;general;village;no;never;6g;education
f;professional;village;no;never;8g;education
f;general;village;no;sev_a_week;2g;education
m;higher;village;no;never;5g;work
f;professional;village;yes;sev_a_year;9g;marriage
m;professional;village;no;never;4g;sep
f;professional;village;no;never;6g;sep
f;professional;village;yes;sev_a_year;7g;sep
f;professional;village;yes;never;6g;sep
m;general;village;no;never;9g;education
m;professional;village;no;never;5g;work
f;professional;village;yes;sev_a_year;8g;partner
m;professional;village;yes;never;1g;sep
f;professional;village;no;never;9g;marriage
m;professional;village;no;never;3g;marriage
f;professional;village;yes;never;7g;work
m;general;village;yes;never;4g;work
m;professional;village;yes;min_once_a_month;8g;work
f;professional;village;no;never;5g;marriage
f;general;village;yes;never;2g;work
f;higher;village;yes;never;11g;child
f;higher;village;yes;sev_a_year;1g;work
m;general;village;no;never;11g;education
f;professional;village;no;never;7g;sep
m;professional;village;no;never;6g;work
m;professional;village;yes;never;10g;education
f;professional;village;yes;never;1g;work
m;professional;village;no;never;9g;work
m;higher;village;yes;sev_a_year;9g;marriage
m;general;village;yes;never;1g;work
f;professional;village;yes;never;5g;work
f;professional;village;yes;never;5g;work
f;professional;village;yes;min_once_a_month;6g;work
f;higher;village;yes;sev_a_year;7g;marriage
m;professional;village;no;never;5g;sep
m;higher;village;no;never;3g;sep
f;higher;village;no;never;4g;sep
f;professional;village;yes;never;8g;sep
f;professional;village;yes;never;7g;education
f;professional;village;yes;never;4g;sep
f;professional;village;no;never;5g;sep
f;professional;village;no;never;5g;sep
f;professional;village;no;never;8g;work
f;higher;village;no;never;10g;marriage
f;professional;village;yes;never;7g;marriage
m;higher;village;yes;never;7g;work
m;professional;village;yes;sev_a_year;9g;sep
m;professional;village;no;never;11g;work
f;general;village;no;never;7g;marriage
f;general;village;no;never;9g;education
m;higher;village;no;never;5g;work
f;professional;village;yes;never;5g;education
f;general;village;yes;never;9g;education
m;professional;village;yes;never;1g;work
m;professional;village;yes;never;3g;sep
m;general;village;yes;never;9g;sep
f;general;village;yes;sev_a_year;2g;work
f;professional;village;yes;sev_a_year;11g;work
m;professional;village;yes;sev_a_year;10g;sep
f;professional;village;no;never;5g;work
f;higher;village;yes;sev_a_year;2g;sep
f;professional;village;yes;never;7g;work
m;professional;village;no;never;8g;education
f;professional;village;no;never;10g;marriage
m;professional;village;no;never;10g;education
m;professional;village;no;never;6g;sep
f;professional;village;no;never;4g;sep
f;professional;village;yes;never;7g;sep
f;professional;village;no;never;8g;work
m;higher;village;no;never;7g;sep
f;professional;village;yes;never;4g;education
m;professional;village;no;never;7g;work
f;general;village;yes;never;4g;work
f;general;village;yes;sev_a_year;1g;education
f;general;village;yes;never;9g;education
f;professional;village;no;never;6g;education
m;professional;village;no;never;2g;sep
m;professional;village;yes;never;10g;work
f;professional;village;yes;sev_a_year;7g;sep
m;general;village;yes;min_once_a_month;4g;work
f;general;village;no;never;8g;work
f;general;village;yes;sev_a_year;6g;education
f;professional;village;no;never;5g;partner
f;professional;village;yes;never;10g;education
f;professional;village;yes;never;10g;work
f;general;village;no;never;8g;education
f;professional;village;yes;never;5g;education
m;professional;village;no;never;4g;education
m;professional;village;yes;never;9g;work
f;general;village;yes;sev_a_year;8g;education
m;professional;village;yes;never;4g;work
f;general;village;no;never;10g;education
f;general;village;no;never;11g;education
f;general;village;no;never;5g;work
f;general;village;yes;never;10g;education
f;professional;village;yes;never;8g;work
f;professional;village;yes;never;6g;sep
m;professional;village;yes;never;7g;work
m;professional;village;yes;never;9g;work
f;general;village;yes;never;2g;work
f;professional;village;no;never;6g;education
m;general;village;no;never;9g;work
f;professional;village;yes;sev_a_year;3g;sep
m;professional;village;yes;never;8g;work
f;professional;village;yes;never;4g;education
m;professional;village;yes;never;2g;work
f;professional;village;yes;never;6g;work
f;general;village;yes;never;10g;work
f;general;village;yes;never;9g;work
f;general;city;yes;min_once_a_month;1g;education
f;general;city;yes;sev_a_year;4g;marriage
m;general;city;no;never;6g;marriage
f;higher;city;yes;never;6g;work
f;professional;city;yes;min_once_a_month;5g;work
f;professional;city;yes;sev_a_year;7g;work
f;professional;city;yes;min_once_a_month;7g;education
f;professional;city;yes;sev_a_year;9g;sep
f;general;city;yes;sev_a_year;10g;marriage
f;general;city;yes;sev_a_year;5g;work
f;higher;city;no;never;8g;sep
f;general;city;yes;min_once_a_month;2g;work
f;professional;city;yes;sev_a_year;6g;work
f;professional;city;yes;min_once_a_month;2g;education
m;higher;city;yes;sev_a_year;1g;work
f;professional;city;yes;min_once_a_month;2g;education
f;professional;city;no;never;5g;work
f;general;city;yes;sev_a_year;3g;work
f;general;city;yes;sev_a_year;2g;work
m;higher;city;yes;never;1g;education
f;higher;city;yes;sev_a_year;5g;marriage
f;general;city;yes;min_once_a_month;3g;education
f;professional;city;yes;sev_a_year;6g;education
f;professional;city;yes;min_once_a_month;6g;sep
f;general;city;no;never;9g;work
f;professional;city;yes;sev_a_year;5g;sep
f;higher;city;yes;sev_a_year;8g;marriage
f;higher;city;yes;sev_a_year;2g;sep
m;higher;city;yes;sev_a_year;3g;work
f;general;city;yes;sev_a_year;8g;education
f;general;city;yes;min_once_a_month;4g;work
f;professional;city;yes;sev_a_year;6g;work
m;professional;city;yes;never;6g;work
f;general;city;yes;sev_a_year;2g;sep
f;professional;city;yes;sev_a_year;2g;work
f;higher;city;yes;never;9g;marriage
f;general;city;yes;sev_a_year;2g;education
m;professional;city;yes;never;7g;education
f;professional;city;yes;sev_a_year;2g;education
f;higher;city;no;never;2g;partner
f;professional;city;yes;min_once_a_month;9g;work
f;general;city;yes;sev_a_year;3g;work
f;professional;city;yes;sev_a_year;6g;work
f;professional;city;no;never;10g;partner
f;general;city;no;never;3g;work
f;higher;city;yes;once_a_week;6g;marriage
f;higher;city;yes;min_once_a_month;1g;education
f;general;city;yes;once_a_week;4g;work
f;professional;city;yes;sev_a_year;6g;work
f;general;city;yes;sev_a_week;1g;work
f;professional;city;yes;sev_a_year;9g;education
f;professional;city;yes;sev_a_year;6g;work
f;higher;city;yes;min_once_a_month;10g;sep
f;higher;city;no;never;5g;education
f;higher;city;yes;sev_a_year;7g;marriage
f;professional;city;yes;sev_a_year;3g;education
f;professional;city;yes;min_once_a_month;2g;education
f;higher;city;yes;sev_a_year;3g;work
m;general;city;yes;sev_a_year;11g;sep
f;higher;city;no;min_once_a_month;11g;partner
f;professional;city;yes;sev_a_year;7g;education
f;general;city;yes;sev_a_year;8g;education
f;higher;city;yes;min_once_a_month;5g;work
f;higher;city;yes;min_once_a_month;10g;partner
f;general;city;yes;sev_a_year;2g;work
f;professional;city;yes;never;1g;work
m;higher;city;yes;sev_a_year;4g;work
f;general;city;yes;min_once_a_month;2g;marriage
f;professional;city;yes;min_once_a_month;9g;partner
f;higher;city;yes;never;1g;sep
f;professional;city;yes;min_once_a_month;6g;work
f;professional;city;yes;sev_a_year;10g;work
f;professional;city;yes;never;6g;work
f;professional;city;yes;sev_a_year;6g;work
f;professional;city;yes;never;7g;sep
f;general;city;yes;never;8g;work
m;higher;city;yes;never;1g;work
f;higher;city;yes;min_once_a_month;8g;sep
f;general;city;yes;sev_a_year;6g;work
f;professional;city;yes;never;8g;marriage
f;higher;city;yes;sev_a_year;2g;work
f;professional;city;yes;sev_a_year;10g;work
m;general;city;yes;never;8g;work
f;higher;city;yes;sev_a_year;6g;work
f;professional;city;yes;never;7g;sep
f;professional;village;no;never;10g;partner
f;general;city;yes;never;8g;work
f;general;city;yes;sev_a_year;2g;work
f;professional;city;yes;never;5g;sep
m;professional;city;no;never;8g;education
f;general;city;yes;never;8g;work
m;professional;city;yes;sev_a_week;2g;education
f;general;city;yes;min_once_a_month;1g;work
f;professional;city;yes;never;9g;education
f;general;city;yes;never;4g;work
f;general;city;yes;never;1g;education
f;general;city;yes;never;2g;education
f;higher;city;no;never;4g;sep
f;professional;city;no;never;3g;marriage
f;higher;city;yes;never;6g;sep
m;higher;city;yes;sev_a_year;6g;work
f;higher;city;yes;never;6g;sep
f;general;city;yes;sev_a_year;5g;work
f;professional;city;yes;sev_a_year;7g;sep
m;general;city;yes;never;2g;education
f;professional;city;yes;never;4g;work
f;general;city;no;never;11g;partner
f;general;city;yes;sev_a_year;4g;sep
f;general;city;yes;never;1g;work
f;professional;city;yes;sev_a_year;9g;partner
f;general;city;no;never;10g;education
f;professional;city;yes;never;6g;education
f;general;city;yes;sev_a_year;2g;work
f;general;city;yes;sev_a_year;7g;partner
f;professional;city;yes;never;1g;sep
m;professional;city;no;never;8g;education
f;professional;city;yes;never;8g;education
f;professional;city;yes;never;8g;work
f;professional;city;yes;sev_a_year;4g;sep
f;professional;city;yes;sev_a_year;8g;sep
f;professional;city;yes;never;8g;education
m;professional;city;yes;never;2g;education
f;professional;city;yes;sev_a_year;1g;education
f;higher;city;no;never;7g;sep
f;professional;city;yes;sev_a_year;10g;partner
f;general;city;yes;sev_a_year;3g;work
f;professional;city;no;sev_a_week;8g;education
f;professional;city;yes;sev_a_year;8g;marriage
f;professional;city;yes;never;9g;work
m;professional;city;yes;sev_a_year;5g;sep
m;general;city;yes;sev_a_year;6g;sep
f;general;city;yes;sev_a_year;8g;work
m;higher;city;yes;never;6g;sep
f;professional;city;yes;never;7g;sep
f;professional;city;yes;never;3g;education
f;professional;city;yes;sev_a_year;7g;education
m;professional;city;yes;never;4g;work
f;higher;city;yes;sev_a_year;7g;sep
f;higher;city;yes;sev_a_year;6g;sep
f;higher;city;yes;sev_a_year;4g;sep
f;professional;city;yes;sev_a_year;11g;partner
f;professional;city;yes;never;7g;sep
f;general;city;no;never;6g;sep
f;higher;city;yes;sev_a_year;10g;marriage
f;professional;city;yes;sev_a_week;6g;education
m;general;city;no;never;8g;sep
m;professional;city;yes;sev_a_year;8g;education
f;professional;city;yes;sev_a_year;8g;sep
f;professional;city;no;never;8g;sep
f;professional;city;yes;never;10g;partner
m;professional;city;no;never;11g;education
f;higher;city;yes;never;5g;work
m;professional;city;yes;never;9g;marriage
f;professional;city;yes;sev_a_year;6g;partner
f;professional;city;yes;never;7g;education
f;professional;city;yes;sev_a_year;8g;partner
m;professional;city;no;never;3g;work
f;professional;city;no;sev_a_week;6g;sep
f;professional;city;no;never;7g;work
f;general;city;yes;never;5g;work
f;general;city;yes;never;2g;education
f;professional;city;no;never;5g;work
f;professional;city;no;never;9g;sep
f;professional;city;yes;never;9g;sep
m;general;village;yes;never;4g;work
m;higher;village;no;never;11g;education
f;general;village;yes;never;2g;education
f;general;village;yes;never;6g;sep
f;general;village;yes;never;4g;marriage
f;general;village;no;never;2g;education
m;general;village;yes;never;1g;work
m;higher;village;yes;never;3g;sep
m;general;village;yes;never;8g;work
f;general;village;yes;never;3g;work
f;professional;village;yes;never;9g;work
f;professional;village;yes;never;2g;work
f;general;village;yes;never;9g;education
f;professional;village;yes;never;5g;sep
m;professional;village;no;never;7g;education
f;general;village;yes;never;1g;work
m;professional;village;yes;never;2g;work
f;professional;village;no;never;8g;education
f;general;village;yes;never;1g;education
f;professional;village;yes;never;6g;marriage
f;general;village;yes;sev_a_year;3g;work
f;professional;village;no;never;8g;partner
f;general;village;yes;never;4g;partner
f;professional;village;yes;never;8g;marriage
m;professional;village;no;never;7g;work
m;professional;village;no;never;5g;education
f;general;village;yes;never;10g;partner
f;general;village;yes;never;8g;education
f;general;village;no;never;9g;education
f;professional;village;yes;never;2g;sep
m;general;village;yes;never;5g;marriage
f;general;village;no;never;9g;sep
f;general;village;yes;never;2g;work
f;general;village;yes;never;3g;education
m;professional;village;no;never;9g;sep
f;professional;village;yes;never;8g;sep
m;general;village;no;never;9g;sep
f;professional;village;yes;never;2g;education
f;general;village;yes;never;4g;education
f;general;village;yes;never;2g;work
f;general;village;yes;never;5g;education
m;professional;village;yes;never;7g;education
f;professional;village;yes;never;6g;work
f;general;village;yes;never;1g;education
f;general;village;yes;never;2g;work
f;professional;village;yes;never;2g;sep
f;professional;village;yes;never;8g;partner
m;professional;city;yes;sev_a_year;11g;education
m;professional;city;yes;sev_a_year;8g;work
m;professional;city;yes;never;4g;sep
f;professional;city;yes;sev_a_year;5g;sep
f;general;city;yes;never;6g;education
m;professional;city;yes;never;6g;education
f;general;city;yes;sev_a_year;1g;work
m;general;city;no;never;6g;work
f;higher;city;yes;sev_a_year;10g;work
m;professional;city;no;never;4g;sep
m;general;city;yes;sev_a_year;10g;work
f;higher;city;yes;sev_a_year;3g;work
f;professional;city;yes;sev_a_year;8g;sep
m;professional;city;yes;sev_a_year;4g;sep
m;general;city;no;never;1g;work
f;professional;city;yes;sev_a_year;5g;work
f;professional;city;yes;sev_a_year;6g;work
m;general;city;yes;sev_a_year;1g;work
m;professional;city;yes;sev_a_year;8g;education
f;professional;city;yes;sev_a_year;9g;work
m;general;city;no;never;3g;work
m;general;city;yes;never;2g;work
f;higher;city;yes;never;9g;sep
f;professional;city;yes;sev_a_year;4g;work
f;professional;city;yes;never;7g;work
f;general;city;yes;never;5g;education
f;general;city;yes;sev_a_year;2g;education
f;higher;city;yes;sev_a_year;6g;sep
f;general;city;yes;min_once_a_month;2g;education
m;professional;city;yes;never;7g;work
f;professional;city;yes;min_once_a_month;6g;partner
m;professional;city;yes;sev_a_year;10g;sep
m;professional;city;yes;never;5g;work
f;professional;city;yes;sev_a_year;8g;sep
f;higher;city;no;never;9g;education
f;general;city;no;never;1g;sep
f;general;city;yes;never;4g;work
f;higher;city;yes;sev_a_year;7g;work
m;general;city;yes;never;5g;sep
f;professional;city;no;never;7g;education
m;general;city;yes;sev_a_year;8g;work
